perf_id,date,campaign_id,utm_campaign,platform,ad_set,spend,impressions,clicks,conversions,conversion_value,notes
ADP-2026-00146,2026-06-06,CMP-2026-001,always-on-conversions-2026,META,battery-life-a,507,1449,18,0,0,
ADP-2026-00147,2026-06-06,CMP-2026-002,desk-upgrade-awareness-2026,META,desk-aesthetic-b,250,833,11,0,0,
ADP-2026-00148,2026-06-06,CMP-2026-003,amazon-sponsored-2026,AMAZON,sp-aqm-pro,195,812,17,0,0,
ADP-2026-00149,2026-06-07,CMP-2026-001,always-on-conversions-2026,GOOGLE,search-aqi-monitor,333,1105,42,0,0,
ADP-2026-00150,2026-06-07,CMP-2026-001,always-on-conversions-2026,META,battery-life-b,439,1254,19,0,0,
ADP-2026-00151,2026-06-07,CMP-2026-002,desk-upgrade-awareness-2026,META,desk-aesthetic-a,255,850,10,0,0,
ADP-2026-00152,2026-06-07,CMP-2026-003,amazon-sponsored-2026,AMAZON,sp-aqm-pro,215,896,17,0,0,
ADP-2026-00153,2026-06-08,CMP-2026-001,always-on-conversions-2026,GOOGLE,search-brand,395,1000,38,1,4999,
ADP-2026-00154,2026-06-08,CMP-2026-001,always-on-conversions-2026,META,display-clarity-a,605,778,21,0,0,"CPM spike, audience fatigue suspected"
ADP-2026-00155,2026-06-08,CMP-2026-002,desk-upgrade-awareness-2026,META,desk-aesthetic-b,297,990,14,0,0,
ADP-2026-00156,2026-06-08,CMP-2026-003,amazon-sponsored-2026,AMAZON,sp-aqm-pro,255,1062,21,0,0,
ADP-2026-00157,2026-06-09,CMP-2026-001,always-on-conversions-2026,GOOGLE,search-aqi-monitor,349,868,33,1,4999,
ADP-2026-00158,2026-06-09,CMP-2026-001,always-on-conversions-2026,META,battery-life-a,594,1697,22,1,4999,
ADP-2026-00159,2026-06-09,CMP-2026-002,desk-upgrade-awareness-2026,META,desk-aesthetic-a,290,967,11,1,4999,
ADP-2026-00160,2026-06-09,CMP-2026-003,amazon-sponsored-2026,AMAZON,sp-aqm-pro,237,988,22,1,4999,
